projects_completed,tenure_months,portfolio_strength,on_time_delivery_percent,avg_client_rating,rating_trajectory,dispute_rate,project_category,project_success_score,project_price_inr
44,51,0.9,0.98,4.46,-0.1,0.056,UI/UX Design,72.74,414007
43,55,0.68,0.87,4.22,0.08,0.09,Mobile Development,50.61,308926
32,31,0.66,0.86,4.06,0.14,0.111,UI/UX Design,56.16,249493
50,54,0.97,0.96,4.47,-0.01,0.06,Graphic Design,75.03,419461
44,55,0.52,0.85,4.01,0.06,0.098,UI/UX Design,42.95,270572
5,10,0.88,0.97,4.73,0.02,0.038,Mobile Development,71.52,246661
25,25,0.74,0.71,3.7,0.01,0.146,UI/UX Design,24.07,214746
50,57,0.97,0.87,4.35,-0.2,0.068,Graphic Design,57.24,424342
42,46,0.7,0.94,4.31,-0.1,0.068,Graphic Design,59.42,312225
24,16,0.85,0.96,4.73,-0.03,0.033,Mobile Development,73.32,341712
50,59,0.53,0.93,4.47,-0.05,0.054,Mobile Development,55.99,338853
31,38,0.96,0.9,4.29,-0.02,0.089,Graphic Design,60.34,336821
47,55,0.67,0.99,4.73,-0.19,0.036,Graphic Design,66.11,402044
34,43,0.76,0.76,3.99,0.21,0.1,Graphic Design,38.03,262245
23,32,0.57,0.73,3.61,0.27,0.15,Graphic Design,18.85,122892
29,39,0.97,0.73,3.75,0.04,0.148,Mobile Development,32.94,271710
23,20,0.84,1.0,4.95,0.15,0.048,Web Development,83.27,354545
34,37,0.53,0.78,3.99,0.09,0.129,Web Development,31.92,191964
28,26,0.58,0.91,4.35,-0.04,0.089,UI/UX Design,52.77,261058
50,51,0.7,0.71,3.5,0.04,0.15,Graphic Design,25.58,292580
14,10,0.61,0.78,3.87,0.08,0.12,UI/UX Design,29.22,191729
9,11,0.65,0.88,4.19,0.21,0.107,Mobile Development,46.96,169986
42,43,1.0,0.88,4.16,0.25,0.116,UI/UX Design,68.77,376141
21,27,0.83,0.77,3.82,0.19,0.133,UI/UX Design,33.96,232497
30,23,0.96,0.86,4.07,0.28,0.123,UI/UX Design,56.45,335928
9,19,0.72,0.73,3.56,0.2,0.135,UI/UX Design,20.98,135214
13,15,0.86,0.87,4.21,-0.04,0.085,Web Development,49.51,270148
46,51,0.73,0.73,3.53,0.11,0.143,Web Development,32.36,263384
24,18,0.66,0.88,4.25,-0.18,0.088,Graphic Design,46.57,257802
28,36,0.76,0.75,3.64,0.2,0.15,Graphic Design,27.08,214671
26,35,0.71,0.86,4.5,-0.12,0.085,UI/UX Design,54.88,307893
11,8,0.99,0.76,4.04,0.29,0.113,Graphic Design,42.32,276441
40,35,0.75,0.82,3.96,0.14,0.103,UI/UX Design,45.97,285150
5,11,0.91,0.82,3.96,0.16,0.103,UI/UX Design,46.56,204741
28,34,0.83,0.94,4.49,0.12,0.076,Mobile Development,68.1,319294
16,13,0.74,0.89,4.36,0.11,0.081,Web Development,53.98,235010
37,49,0.74,0.98,4.7,-0.19,0.045,UI/UX Design,70.57,328116
38,50,0.67,0.97,4.67,0.17,0.043,Mobile Development,78.18,324663
39,48,0.55,0.9,4.48,0.09,0.081,Web Development,56.82,290059
43,49,0.88,0.94,4.43,0.13,0.088,Graphic Design,71.28,392914
32,38,0.96,0.91,4.31,0.06,0.075,Graphic Design,67.44,363330
28,22,0.61,0.89,4.12,0.06,0.097,Web Development,44.47,219202
47,53,0.96,0.91,4.33,0.06,0.092,Web Development,64.71,431245
18,16,0.62,0.78,3.85,0.29,0.121,UI/UX Design,34.84,155458
23,18,0.77,0.81,3.97,0.28,0.131,Graphic Design,45.51,209474
48,55,0.67,0.86,4.4,0.08,0.063,Web Development,52.29,308826
14,16,0.56,0.9,4.22,0.07,0.106,UI/UX Design,45.95,145624
30,36,0.53,0.8,3.69,0.1,0.127,UI/UX Design,28.75,164248
24,33,0.68,0.74,3.67,0.05,0.144,Web Development,23.99,191143
50,49,0.52,0.82,3.97,0.02,0.102,UI/UX Design,38.31,308575
17,11,0.55,0.97,4.79,0.04,0.065,Mobile Development,58.38,217045
26,46,0.57,0.75,3.71,0.24,0.115,Mobile Development,27.63,187396
27,21,0.5,0.87,4.43,-0.06,0.076,Mobile Development,49.67,206566
5,9,0.58,0.98,4.68,0.09,0.072,Graphic Design,63.52,186477
37,40,0.79,0.82,3.93,0.04,0.115,Web Development,39.93,288046
33,53,0.91,0.98,4.83,0.16,0.057,Mobile Development,85.63,415218
26,31,0.6,0.94,4.63,0.01,0.078,Graphic Design,63.36,287192
24,17,0.54,0.78,3.74,0.03,0.113,Web Development,23.41,186509
23,16,0.86,0.74,3.76,0.11,0.129,UI/UX Design,30.89,241801
38,42,0.5,0.73,3.69,0.11,0.142,UI/UX Design,16.14,207646
31,30,0.87,0.82,4.02,0.22,0.122,Web Development,47.59,300663
15,23,0.57,0.97,4.83,0.07,0.03,Web Development,65.07,235800
25,24,0.61,0.77,4.02,0.11,0.111,UI/UX Design,35.19,222156
30,28,0.56,0.96,4.54,-0.07,0.054,Web Development,60.75,259780
50,60,0.62,0.74,3.75,0.02,0.14,Graphic Design,30.06,291598
34,43,0.9,1.0,4.81,-0.01,0.037,Web Development,80.04,425370
49,59,0.57,0.77,3.73,0.15,0.122,UI/UX Design,33.32,288457
22,23,1.0,0.91,4.41,-0.18,0.088,Graphic Design,65.26,317244
31,31,0.66,0.71,3.5,0.29,0.15,Graphic Design,28.07,198357
17,11,0.96,0.81,4.14,0.27,0.092,Mobile Development,57.95,266052
17,9,0.6,0.75,3.82,0.02,0.124,UI/UX Design,24.46,165837
46,49,0.59,0.7,3.5,0.09,0.15,UI/UX Design,24.2,217321
39,56,0.78,0.75,3.69,0.07,0.145,Graphic Design,36.52,298084
17,34,0.53,0.86,4.22,0.17,0.103,Web Development,46.76,154451
31,39,0.9,0.83,4.2,-0.14,0.09,Web Development,50.8,306372
21,22,0.72,0.91,4.39,0.02,0.081,UI/UX Design,52.87,230373
37,48,0.85,0.91,4.38,-0.04,0.064,UI/UX Design,65.95,321124
38,48,0.59,0.92,4.52,0.18,0.086,Mobile Development,58.05,294286
46,58,0.82,0.97,4.56,-0.03,0.074,UI/UX Design,72.41,392183
23,21,0.8,0.95,4.84,-0.05,0.038,Graphic Design,74.83,303796
5,7,0.88,0.85,4.15,0.16,0.093,UI/UX Design,50.02,192029
33,39,0.65,0.78,3.89,0.13,0.103,Graphic Design,31.33,254615
49,60,0.97,0.87,4.45,-0.02,0.072,Graphic Design,63.03,444698
17,13,0.98,0.88,4.29,0.0,0.094,Graphic Design,57.41,306113
24,18,0.93,0.81,4.19,0.14,0.113,UI/UX Design,46.12,295201
48,47,0.79,0.87,3.98,0.16,0.118,Mobile Development,55.64,329302
11,13,0.71,0.73,3.79,0.25,0.133,Graphic Design,26.24,128378
21,35,0.53,0.75,3.86,0.14,0.133,Graphic Design,26.94,169563
31,37,0.97,0.95,4.26,-0.19,0.09,UI/UX Design,63.91,371426
27,41,0.98,0.78,3.79,0.29,0.108,Graphic Design,44.58,302418
50,52,0.51,0.72,3.64,0.22,0.15,Mobile Development,32.76,240048
26,35,0.68,0.78,3.96,0.04,0.109,Mobile Development,32.33,215316
12,6,0.94,0.83,4.26,0.09,0.108,Graphic Design,50.18,276535
45,48,0.54,0.78,3.61,0.26,0.137,UI/UX Design,33.53,250779
39,44,0.6,0.8,3.93,0.15,0.122,Graphic Design,42.0,263310
31,22,0.99,0.77,3.64,0.24,0.137,Mobile Development,42.33,292528
22,25,0.92,0.77,3.68,0.23,0.125,Web Development,37.52,265993
22,29,0.96,0.79,4.02,0.05,0.126,Mobile Development,46.79,302151
41,55,0.57,0.8,3.83,0.1,0.129,Web Development,34.7,255554
29,27,0.61,0.79,3.87,0.23,0.118,Web Development,34.83,188317
29,34,0.8,0.94,4.49,-0.06,0.057,Web Development,64.72,294945
20,27,0.75,0.86,4.33,0.09,0.103,Graphic Design,49.51,245845
43,49,0.65,0.86,3.93,0.04,0.131,UI/UX Design,45.36,306119
19,14,0.94,0.89,4.5,0.11,0.067,UI/UX Design,64.75,318341
37,42,0.95,0.84,4.33,0.07,0.071,Graphic Design,59.63,351918
20,15,0.65,0.98,4.82,-0.12,0.026,Mobile Development,68.02,264741
36,41,0.58,0.7,3.53,0.27,0.133,Graphic Design,20.08,192737
33,42,0.57,0.75,3.5,0.12,0.15,UI/UX Design,22.61,206925
33,33,0.74,0.78,3.96,0.25,0.126,Mobile Development,37.7,269480
25,33,0.57,0.95,4.72,0.03,0.047,UI/UX Design,57.39,258454
34,47,0.74,0.97,4.7,-0.08,0.051,Graphic Design,69.87,381370
46,48,0.73,0.95,4.49,0.06,0.069,Graphic Design,64.67,360406
22,26,0.94,0.84,4.34,0.08,0.063,Graphic Design,54.36,334129
35,29,0.65,0.96,4.51,-0.17,0.056,Graphic Design,62.71,282950
44,47,0.78,0.73,3.81,0.29,0.125,Mobile Development,41.05,311906
36,45,0.87,0.91,4.48,0.2,0.063,UI/UX Design,70.98,352976
12,7,0.8,0.99,4.71,0.11,0.054,Mobile Development,73.57,280542
50,60,0.98,0.95,4.95,-0.1,0.019,Graphic Design,84.68,480514
18,13,0.8,0.79,3.96,0.23,0.126,Web Development,43.56,244258
47,53,0.95,0.94,4.61,0.18,0.073,Mobile Development,78.39,463523
26,32,0.62,0.78,3.9,0.03,0.124,Web Development,27.08,195835
34,27,0.78,0.74,3.7,0.01,0.135,Web Development,26.25,265012
43,42,0.77,0.92,4.43,-0.18,0.071,Mobile Development,58.52,359727
26,32,0.99,0.78,3.95,0.04,0.121,Web Development,43.2,278685
39,34,0.6,0.72,3.6,0.14,0.15,UI/UX Design,22.68,211549
11,8,0.57,0.85,3.87,0.09,0.133,Mobile Development,26.43,121084
37,49,0.81,0.89,4.21,0.11,0.087,UI/UX Design,53.13,318017
15,18,0.61,0.7,3.68,0.13,0.123,Graphic Design,21.15,107882
46,50,0.82,0.71,3.67,0.17,0.13,UI/UX Design,30.0,321778
12,15,0.99,0.99,4.59,-0.04,0.043,Graphic Design,69.61,293932
30,41,0.97,0.76,3.67,0.08,0.134,Graphic Design,38.35,271860
13,14,0.62,0.86,4.11,0.12,0.092,Mobile Development,44.22,147783
47,59,0.59,0.97,4.89,0.06,0.051,Graphic Design,69.13,364502
46,60,0.78,0.86,3.95,0.13,0.121,UI/UX Design,53.45,307927
26,32,0.79,0.75,3.61,0.03,0.122,Graphic Design,24.92,227627
38,39,0.83,0.83,4.06,0.14,0.091,Mobile Development,45.97,339474
48,56,0.87,0.9,4.15,0.22,0.1,Graphic Design,70.22,363856
6,6,0.8,0.93,4.53,0.17,0.073,Graphic Design,58.76,233687
30,37,0.56,0.86,4.05,0.13,0.117,Mobile Development,39.25,230028
26,30,0.9,0.72,3.5,0.3,0.15,UI/UX Design,35.49,221611
30,34,0.54,0.72,3.52,0.25,0.15,Mobile Development,19.61,171843
13,12,0.51,0.79,3.85,0.06,0.124,Mobile Development,21.43,133872
49,54,0.88,0.93,4.39,-0.09,0.075,Mobile Development,63.66,421195
11,8,0.77,0.88,4.28,-0.07,0.097,Graphic Design,45.85,220675
24,25,0.85,0.72,3.79,0.17,0.144,UI/UX Design,29.73,277662
30,25,0.69,0.93,4.64,-0.16,0.056,Graphic Design,55.69,303667
50,58,0.51,0.86,4.41,0.11,0.081,Graphic Design,57.68,299270
25,35,0.67,0.96,4.61,0.18,0.05,Mobile Development,74.51,250665
27,40,0.8,0.83,4.06,0.16,0.12,Graphic Design,44.49,280676
33,40,0.61,0.83,4.11,0.27,0.11,Web Development,44.48,237936
49,54,0.84,0.83,3.84,0.04,0.117,Graphic Design,43.35,339989
39,44,0.9,0.93,4.66,-0.16,0.072,Graphic Design,70.83,387045
34,32,0.73,0.92,4.41,-0.08,0.096,Web Development,56.03,313956
26,31,0.94,0.94,4.51,0.18,0.06,Graphic Design,68.05,335897
9,19,0.93,0.81,4.02,0.26,0.096,Graphic Design,42.65,206630
14,22,0.94,0.91,4.29,-0.13,0.1,Web Development,53.71,297604
25,23,0.83,0.81,3.86,0.02,0.124,UI/UX Design,42.9,239287
47,50,0.65,0.94,4.6,0.16,0.077,UI/UX Design,68.16,358111
38,57,0.74,0.72,3.63,0.22,0.133,UI/UX Design,27.86,261297
37,34,0.86,0.72,3.94,0.1,0.118,Mobile Development,32.88,313562
26,25,0.61,0.72,3.61,0.15,0.145,Mobile Development,19.33,188637
48,58,0.87,0.77,3.9,0.21,0.106,UI/UX Design,46.07,366382
25,32,0.77,0.71,3.91,0.29,0.137,Graphic Design,34.5,229928
30,23,0.55,0.7,3.56,0.1,0.15,UI/UX Design,15.11,165687
16,9,0.78,0.79,3.98,0.22,0.119,Web Development,41.26,209389
11,6,0.53,0.71,3.5,0.22,0.142,Web Development,14.34,89774
42,55,0.51,0.92,4.38,-0.19,0.086,Graphic Design,42.85,276132
17,6,0.94,0.74,3.69,0.24,0.149,Web Development,33.67,231765
28,31,0.74,0.97,4.56,-0.01,0.077,Web Development,66.71,300770
43,50,0.77,0.96,4.67,-0.0,0.073,UI/UX Design,74.61,364840
24,25,0.64,0.75,3.83,0.25,0.109,UI/UX Design,32.31,191950
43,57,0.77,0.72,3.74,0.14,0.118,Web Development,30.24,297917
27,28,0.58,0.72,3.55,0.14,0.15,Web Development,11.73,180917
19,15,0.87,0.88,4.05,0.18,0.119,Graphic Design,54.41,256518
14,16,0.91,0.9,4.36,-0.1,0.088,Web Development,51.21,283974
40,46,0.93,0.81,3.92,0.04,0.102,UI/UX Design,46.9,349800
39,46,0.55,0.77,3.69,0.23,0.139,UI/UX Design,31.18,238665
17,10,0.78,0.86,4.16,0.09,0.107,UI/UX Design,47.51,236614
8,6,0.9,0.81,3.91,0.02,0.103,Mobile Development,38.98,210204
22,22,0.56,0.96,4.6,-0.16,0.044,UI/UX Design,57.36,239133
27,27,0.55,0.79,3.84,0.04,0.113,Mobile Development,27.07,176874
32,39,0.91,0.78,4.07,0.06,0.088,UI/UX Design,41.18,334466
38,50,0.9,0.76,3.79,0.21,0.112,UI/UX Design,45.79,302454
36,46,0.72,0.89,4.35,-0.06,0.07,Graphic Design,56.43,332680
32,34,0.55,0.78,3.9,0.28,0.119,Mobile Development,32.2,209043
10,9,0.76,0.76,3.54,0.29,0.133,Web Development,23.94,144101
11,10,0.7,0.78,3.99,0.09,0.115,Web Development,33.23,159253
20,16,0.76,0.79,4.39,-0.08,0.07,Graphic Design,40.01,260391
50,56,0.72,0.88,4.16,0.06,0.09,Graphic Design,52.79,351343
30,26,0.78,0.76,3.64,0.16,0.15,Mobile Development,29.39,233760
31,40,0.86,0.93,4.42,0.09,0.089,Mobile Development,65.84,315699
22,17,0.89,0.81,4.0,0.0,0.107,Graphic Design,42.85,264266
38,31,0.82,0.85,4.15,0.12,0.096,Mobile Development,58.62,318357
47,56,0.6,0.88,4.21,-0.07,0.078,Graphic Design,52.83,298161
22,24,0.7,0.86,4.27,-0.16,0.102,UI/UX Design,38.76,247666
41,50,0.54,0.88,4.33,0.12,0.064,Graphic Design,50.47,296177
8,12,0.73,0.79,4.09,0.09,0.088,Mobile Development,39.0,179408
48,52,0.99,1.0,4.82,-0.19,0.046,UI/UX Design,82.12,464931
49,60,0.82,0.84,4.12,0.03,0.088,Graphic Design,55.93,407671
13,12,0.58,0.78,3.78,0.11,0.133,Mobile Development,22.02,137659
31,31,0.63,0.78,3.87,0.17,0.101,Mobile Development,35.44,262032
42,45,0.53,0.7,3.5,0.03,0.134,Mobile Development,16.93,210245
9,10,0.59,0.89,4.48,0.13,0.082,Graphic Design,55.47,167269
21,26,0.74,0.78,3.93,0.29,0.118,Graphic Design,38.44,248834
16,19,0.67,0.98,4.75,-0.07,0.031,Web Development,68.88,276985
22,9,0.6,0.75,3.65,0.19,0.126,Graphic Design,23.35,192416
33,28,0.57,0.84,4.36,0.04,0.071,Graphic Design,47.2,276490
43,47,0.83,0.93,4.41,-0.12,0.091,Mobile Development,59.15,364842
21,25,0.78,0.96,4.52,0.16,0.072,UI/UX Design,68.0,258052
18,20,0.92,0.76,3.73,0.02,0.133,Web Development,29.94,230785
48,55,0.59,0.98,4.84,-0.14,0.027,Web Development,71.38,367060
50,57,0.92,0.99,4.97,-0.08,0.039,Web Development,81.99,462255
43,50,0.79,0.99,4.93,0.1,0.022,Web Development,81.22,387610
33,34,0.63,0.94,4.36,-0.15,0.082,Web Development,49.42,265515
5,13,0.64,0.95,4.58,-0.01,0.067,Web Development,60.56,188216
40,46,0.7,0.87,4.18,0.16,0.109,Mobile Development,58.76,299514
37,53,0.73,0.95,4.65,0.07,0.07,Mobile Development,72.8,346010
20,24,0.54,0.84,4.06,0.25,0.093,Graphic Design,45.5,193652
44,53,0.92,0.88,4.39,0.14,0.095,Web Development,61.09,401679
36,44,0.56,0.85,4.08,0.29,0.084,Graphic Design,46.15,261428
40,51,0.74,1.0,4.67,0.01,0.05,Web Development,77.48,343702
26,33,0.69,0.73,3.81,0.2,0.108,Graphic Design,28.22,202619
42,51,0.76,0.94,4.55,0.11,0.075,Graphic Design,68.77,357821
27,32,0.94,0.8,4.07,0.24,0.104,Graphic Design,47.09,287226
11,9,0.99,0.83,3.9,0.05,0.105,UI/UX Design,45.43,228788
19,20,0.51,0.7,3.5,0.27,0.133,UI/UX Design,22.5,114696
41,40,0.7,0.8,3.74,0.29,0.12,Web Development,45.08,285616
26,42,0.91,1.0,4.68,0.15,0.072,UI/UX Design,79.87,336515
10,6,0.66,0.81,3.88,0.15,0.127,UI/UX Design,29.51,147881
11,8,0.82,0.91,4.29,0.14,0.077,Mobile Development,53.14,230351
43,52,1.0,0.76,3.76,0.14,0.145,Mobile Development,43.68,366840
23,29,0.82,0.98,4.58,0.04,0.049,UI/UX Design,69.16,302848
28,32,0.56,0.93,4.38,0.09,0.087,Mobile Development,54.92,234436
30,45,0.92,0.83,4.11,0.12,0.098,UI/UX Design,47.68,325927
36,41,0.98,0.83,4.35,-0.13,0.073,Graphic Design,52.81,352449
36,39,0.86,0.84,4.18,0.16,0.086,Graphic Design,53.81,350200
26,34,0.71,0.82,4.06,0.2,0.105,Graphic Design,43.1,243049
36,29,0.97,0.8,3.89,0.12,0.136,Mobile Development,51.11,323161
26,29,0.98,1.0,4.5,-0.09,0.079,Web Development,70.21,349710
40,47,0.97,0.96,4.62,-0.19,0.067,Web Development,70.61,433925
18,9,0.71,0.78,3.68,0.0,0.15,Graphic Design,24.47,135623
21,8,0.89,1.0,4.95,-0.15,0.037,UI/UX Design,76.73,353394
28,39,0.83,0.71,3.79,0.08,0.115,UI/UX Design,37.28,263130
42,54,0.59,0.82,3.86,0.29,0.14,UI/UX Design,41.26,282087
25,28,0.77,0.87,4.24,0.14,0.092,Mobile Development,54.36,246700
44,58,0.87,0.72,3.5,0.09,0.143,UI/UX Design,26.03,308059
50,57,0.95,0.77,3.92,0.05,0.128,Graphic Design,44.75,386482
21,28,0.93,0.8,4.1,0.19,0.1,Mobile Development,48.43,323392
48,50,0.58,0.9,4.45,0.16,0.055,Web Development,63.54,342111
15,10,0.74,0.98,4.77,-0.18,0.041,Web Development,65.49,291324
37,36,0.74,0.89,4.3,-0.14,0.084,Web Development,48.88,328178
44,58,0.95,0.89,4.39,-0.09,0.074,Mobile Development,65.35,386090
37,46,0.5,0.84,4.05,0.29,0.108,Mobile Development,43.26,238160
50,59,0.87,0.82,3.95,0.01,0.101,Web Development,50.33,388739
16,11,0.81,0.95,4.79,-0.15,0.05,Mobile Development,63.87,325545
35,42,0.96,0.88,4.41,-0.17,0.097,Mobile Development,53.75,376397
15,15,0.73,0.77,3.7,0.12,0.144,UI/UX Design,30.49,138731
36,45,0.83,0.75,3.98,0.19,0.119,Mobile Development,42.63,301007
13,12,0.99,1.0,4.7,0.06,0.042,Graphic Design,83.0,318357
33,44,0.87,0.72,3.87,0.22,0.124,Mobile Development,38.09,295979
31,43,0.53,0.96,4.42,0.08,0.089,UI/UX Design,52.59,288423
29,26,0.58,0.75,3.69,0.03,0.124,Web Development,22.22,185797
22,25,0.91,0.91,4.49,0.11,0.054,Web Development,69.08,311744
16,8,0.67,0.78,3.91,0.04,0.124,UI/UX Design,31.26,168027
49,56,0.85,0.97,4.69,-0.08,0.062,Web Development,72.36,431515
26,27,0.85,0.87,4.44,-0.08,0.087,Web Development,48.92,304253
40,52,1.0,0.77,3.86,0.19,0.127,Web Development,43.3,335726
5,9,0.73,0.78,3.92,0.22,0.13,Graphic Design,31.94,151575
27,33,0.87,0.81,3.88,0.28,0.11,Web Development,46.95,281614
25,17,0.52,0.94,4.68,-0.16,0.037,Mobile Development,60.93,224057
41,43,0.73,0.93,4.42,-0.08,0.086,Web Development,58.06,338895
44,56,0.59,0.93,4.68,-0.13,0.051,Mobile Development,58.47,359003
33,41,0.92,0.73,3.86,0.03,0.11,Mobile Development,33.59,279866
39,52,0.92,0.89,4.34,-0.02,0.065,Web Development,66.35,368321
31,46,0.62,0.99,4.82,0.13,0.055,UI/UX Design,76.96,317113
13,10,0.66,0.93,4.52,0.04,0.081,Mobile Development,60.14,213047
27,18,0.85,0.75,3.69,0.06,0.13,UI/UX Design,29.41,250049
34,28,0.87,0.92,4.4,-0.2,0.093,Graphic Design,53.7,354893
49,55,0.83,0.93,4.33,-0.19,0.08,Web Development,58.77,366052
28,35,1.0,0.88,4.18,0.22,0.114,Web Development,66.38,319153
29,42,0.93,0.74,3.7,0.23,0.15,UI/UX Design,30.91,289157
32,30,0.71,0.71,3.74,0.02,0.143,Graphic Design,26.31,244992
46,53,0.66,0.97,4.73,0.05,0.042,Mobile Development,67.9,360106
27,32,0.8,0.78,4.03,0.02,0.103,Mobile Development,34.47,291388
44,56,0.91,0.83,3.8,0.15,0.127,Graphic Design,47.79,344956
22,19,0.74,0.94,4.73,0.02,0.045,Mobile Development,66.09,280373
40,53,0.87,0.92,4.55,-0.17,0.079,Mobile Development,59.6,394688
45,52,0.51,0.97,4.81,-0.15,0.062,Graphic Design,63.73,330862
43,59,0.96,0.75,3.5,0.26,0.15,Web Development,31.95,313306
46,41,0.89,0.93,4.42,0.12,0.07,Mobile Development,70.53,375885
34,44,0.7,0.72,3.5,0.06,0.141,Graphic Design,18.42,214803
23,21,0.69,0.7,3.61,0.08,0.128,Web Development,17.18,167895
19,27,0.55,0.72,3.65,0.2,0.12,Mobile Development,18.39,135589
23,26,0.91,0.9,4.51,0.19,0.056,Web Development,67.81,332191
50,59,0.88,0.92,4.38,0.05,0.071,Graphic Design,71.88,381969
30,26,0.82,0.84,4.22,-0.15,0.088,Mobile Development,44.57,296428
18,13,0.55,0.7,3.5,0.17,0.134,UI/UX Design,16.45,148231
44,54,0.63,0.88,4.45,-0.11,0.087,Graphic Design,47.18,328729
17,21,0.73,0.72,3.71,0.01,0.138,Mobile Development,20.23,172182
44,60,0.63,0.73,3.52,0.24,0.15,Graphic Design,30.46,247263
39,36,0.72,0.85,4.2,0.03,0.096,Mobile Development,48.96,319222
40,47,0.61,0.79,3.68,0.02,0.128,UI/UX Design,26.93,240604
17,15,0.67,0.83,4.25,-0.11,0.107,Web Development,38.06,189475
38,37,0.83,0.9,4.46,0.08,0.063,Mobile Development,61.93,349489
37,39,0.95,0.77,3.9,0.25,0.125,UI/UX Design,50.16,324365
14,14,0.69,0.96,4.77,-0.03,0.038,Mobile Development,65.25,257780
25,22,0.85,0.88,4.3,0.2,0.105,Graphic Design,55.11,295936
13,16,0.57,0.7,3.5,0.28,0.15,Web Development,15.68,111575
24,37,0.77,0.89,4.47,-0.15,0.063,Mobile Development,58.48,267981
23,15,0.96,0.86,4.08,0.02,0.123,Web Development,49.4,319052
22,27,0.51,0.89,4.19,0.26,0.1,Graphic Design,47.86,211425
19,22,0.63,0.92,4.58,0.14,0.073,Graphic Design,56.99,214200
10,9,0.57,0.96,4.56,-0.19,0.056,Web Development,54.72,195884
41,53,0.77,1.0,4.83,0.05,0.033,UI/UX Design,80.4,375960
50,57,0.84,0.87,4.36,-0.2,0.095,Graphic Design,52.74,399223
45,52,0.53,0.85,4.24,0.0,0.082,Mobile Development,47.52,279325
25,30,0.54,0.7,3.67,0.19,0.15,Mobile Development,16.6,173079
18,26,0.93,0.98,4.62,0.05,0.055,Graphic Design,77.44,317053
38,42,0.73,0.71,3.5,0.0,0.13,UI/UX Design,13.74,226526
24,43,0.73,0.89,4.37,-0.07,0.084,Web Development,50.98,264464
46,54,0.97,0.75,3.53,0.13,0.142,UI/UX Design,36.2,310843
16,6,0.66,0.78,3.71,0.26,0.15,UI/UX Design,27.64,131520
27,30,0.95,0.76,3.64,0.24,0.135,UI/UX Design,42.62,282803
50,56,0.99,0.76,3.5,0.18,0.143,Graphic Design,41.29,362184
29,41,0.62,0.71,3.5,0.05,0.15,Web Development,15.83,167151
31,22,0.76,0.8,3.92,0.22,0.126,Graphic Design,46.18,264325
44,46,0.77,0.83,4.08,0.18,0.122,Web Development,50.18,308841
29,29,0.93,0.86,4.11,0.01,0.084,Mobile Development,51.74,284231
7,7,0.65,0.82,3.9,0.23,0.115,UI/UX Design,37.34,136075
34,45,0.9,0.87,4.23,-0.04,0.098,Graphic Design,44.73,358760
19,20,0.99,0.98,4.64,0.05,0.039,UI/UX Design,78.55,323944
38,37,0.92,0.91,4.04,0.05,0.106,Mobile Development,56.63,341161
31,44,0.95,0.73,3.5,0.15,0.15,Web Development,25.96,287150
13,11,0.85,0.76,3.82,0.16,0.107,Graphic Design,34.85,216811
13,6,0.95,0.82,4.04,0.28,0.1,Web Development,51.74,261412
48,52,0.58,0.97,4.69,0.19,0.051,Mobile Development,78.57,334919
29,28,0.86,0.73,3.74,0.02,0.139,Graphic Design,26.36,266004
30,44,0.87,0.92,4.51,-0.01,0.061,Graphic Design,65.63,328062
27,22,0.72,0.71,3.54,0.24,0.136,Mobile Development,25.29,185354
34,39,0.54,0.79,3.82,0.11,0.109,Mobile Development,32.07,207331
34,46,0.81,0.94,4.43,0.12,0.096,Mobile Development,65.91,323673
30,34,0.53,0.78,3.86,0.11,0.12,UI/UX Design,30.18,193135
5,14,0.69,0.82,3.88,0.28,0.102,Graphic Design,34.68,130129
21,18,0.7,0.97,4.76,-0.05,0.032,Web Development,69.47,285695
12,11,1.0,0.74,3.55,0.23,0.131,Graphic Design,36.23,234404
6,11,0.65,0.85,4.35,-0.04,0.07,Graphic Design,40.45,167657
22,25,0.91,0.83,4.04,0.26,0.117,UI/UX Design,49.62,264358
44,57,0.53,0.97,4.83,-0.11,0.046,Web Development,64.04,347778
45,58,0.76,0.94,4.38,-0.07,0.091,Web Development,56.12,371988
5,8,0.77,0.74,3.91,0.13,0.098,Graphic Design,30.75,167830
13,22,0.81,0.98,4.57,-0.06,0.055,Graphic Design,65.26,260496
44,54,0.91,0.78,3.83,0.16,0.12,Web Development,46.23,328384
15,17,0.88,0.74,3.5,0.12,0.147,Mobile Development,25.93,200253
49,53,0.88,0.88,4.26,-0.13,0.071,Web Development,54.32,396134
40,52,0.72,0.92,4.42,0.08,0.077,Web Development,60.69,325207
39,50,0.86,0.93,4.14,0.06,0.091,Mobile Development,61.75,342660
47,60,0.75,0.86,4.21,-0.14,0.081,Mobile Development,45.35,342027
8,6,0.53,0.83,4.12,0.0,0.107,Graphic Design,36.13,140333
21,22,0.95,1.0,4.67,0.07,0.04,UI/UX Design,79.74,342738
8,8,0.95,0.97,4.61,-0.08,0.076,Mobile Development,63.16,306900
31,31,0.66,0.9,4.34,-0.09,0.099,UI/UX Design,47.74,292294
31,20,0.96,0.78,4.09,0.1,0.096,Graphic Design,45.69,320325
31,41,0.88,0.96,4.65,-0.09,0.077,Mobile Development,68.23,338669
34,37,0.7,0.92,4.37,0.18,0.076,Graphic Design,59.64,306404
32,37,0.67,0.99,4.59,-0.04,0.081,Graphic Design,66.31,302121
16,9,0.99,0.76,3.52,0.03,0.15,UI/UX Design,29.52,242938
